sentence_id	yes_no	aspect_sentiment	sentence	ner_tags	ner_mask
8223993a-f947-477a-8a87-314ef03635fd#cbt_response_c:0	0	N positive	testa	O	1
8223993a-f947-477a-8a87-314ef03635fd#cbt_response_c:0	0	N negative	testa	O	1
8223993a-f947-477a-8a87-314ef03635fd#cbt_response_c:0	1	N neutral	testa	B	1
5769f294-220c-418a-b0c1-672d3e4ff431#initial_note:0	1	Y positive	dedico questi <number> giorni al relax	B O O O O O	1 1 1 1 0 1
5769f294-220c-418a-b0c1-672d3e4ff431#initial_note:0	0	Y negative	dedico questi <number> giorni al relax	O O O O O O	1 1 1 1 0 1
5769f294-220c-418a-b0c1-672d3e4ff431#initial_note:0	0	Y neutral	dedico questi <number> giorni al relax	O O O O O O	1 1 1 1 0 1
5769f294-220c-418a-b0c1-672d3e4ff431#initial_note:0	1	N positive	dedico questi <number> giorni al relax	O B I I O B	1 1 1 1 0 1
5769f294-220c-418a-b0c1-672d3e4ff431#initial_note:0	0	N negative	dedico questi <number> giorni al relax	O O O O O O	1 1 1 1 0 1
5769f294-220c-418a-b0c1-672d3e4ff431#initial_note:0	0	N neutral	dedico questi <number> giorni al relax	O O O O O O	1 1 1 1 0 1
5769f294-220c-418a-b0c1-672d3e4ff431#cbt_response_a:0	0	Y positive	stamattina	O	0
5769f294-220c-418a-b0c1-672d3e4ff431#cbt_response_a:0	0	Y negative	stamattina	O	0
5769f294-220c-418a-b0c1-672d3e4ff431#cbt_response_a:0	0	Y neutral	stamattina	O	0
5769f294-220c-418a-b0c1-672d3e4ff431#cbt_response_a:0	0	N positive	stamattina	O	0
5769f294-220c-418a-b0c1-672d3e4ff431#cbt_response_a:0	0	N negative	stamattina	O	0
5769f294-220c-418a-b0c1-672d3e4ff431#cbt_response_a:0	0	N neutral	stamattina	O	0
5769f294-220c-418a-b0c1-672d3e4ff431#cbt_response_a:1	0	Y positive	ed ero con me stessa ! !	O O O O O O O	0 0 0 0 0 0 0
5769f294-220c-418a-b0c1-672d3e4ff431#cbt_response_a:1	0	Y negative	ed ero con me stessa ! !	O O O O O O O	0 0 0 0 0 0 0
5769f294-220c-418a-b0c1-672d3e4ff431#cbt_response_a:1	0	Y neutral	ed ero con me stessa ! !	O O O O O O O	0 0 0 0 0 0 0
5769f294-220c-418a-b0c1-672d3e4ff431#cbt_response_a:1	0	N positive	ed ero con me stessa ! !	O O O O O O O	0 0 0 0 0 0 0
5769f294-220c-418a-b0c1-672d3e4ff431#cbt_response_a:1	0	N negative	ed ero con me stessa ! !	O O O O O O O	0 0 0 0 0 0 0
5769f294-220c-418a-b0c1-672d3e4ff431#cbt_response_a:1	0	N neutral	ed ero con me stessa ! !	O O O O O O O	0 0 0 0 0 0 0
5769f294-220c-418a-b0c1-672d3e4ff431#cbt_response_b:0	1	Y positive	ho pensato a me stessa !	B I O O O O	1 1 0 0 0 0
5769f294-220c-418a-b0c1-672d3e4ff431#cbt_response_b:0	0	Y negative	ho pensato a me stessa !	O O O O O O	1 1 0 0 0 0
5769f294-220c-418a-b0c1-672d3e4ff431#cbt_response_b:0	0	Y neutral	ho pensato a me stessa !	O O O O O O	1 1 0 0 0 0
5769f294-220c-418a-b0c1-672d3e4ff431#cbt_response_b:0	0	N positive	ho pensato a me stessa !	O O O O O O	1 1 0 0 0 0
5769f294-220c-418a-b0c1-672d3e4ff431#cbt_response_b:0	0	N negative	ho pensato a me stessa !	O O O O O O	1 1 0 0 0 0
5769f294-220c-418a-b0c1-672d3e4ff431#cbt_response_b:0	0	N neutral	ho pensato a me stessa !	O O O O O O	1 1 0 0 0 0
5769f294-220c-418a-b0c1-672d3e4ff431#cbt_response_b:1	1	Y positive	cosa devo fare per stare bene ! !	O B I O O O O O	0 1 1 0 1 1 0 0
5769f294-220c-418a-b0c1-672d3e4ff431#cbt_response_b:1	0	Y negative	cosa devo fare per stare bene ! !	O O O O O O O O	0 1 1 0 1 1 0 0
5769f294-220c-418a-b0c1-672d3e4ff431#cbt_response_b:1	0	Y neutral	cosa devo fare per stare bene ! !	O O O O O O O O	0 1 1 0 1 1 0 0
5769f294-220c-418a-b0c1-672d3e4ff431#cbt_response_b:1	1	N positive	cosa devo fare per stare bene ! !	O O O O B I O O	0 1 1 0 1 1 0 0
5769f294-220c-418a-b0c1-672d3e4ff431#cbt_response_b:1	0	N negative	cosa devo fare per stare bene ! !	O O O O O O O O	0 1 1 0 1 1 0 0
5769f294-220c-418a-b0c1-672d3e4ff431#cbt_response_b:1	0	N neutral	cosa devo fare per stare bene ! !	O O O O O O O O	0 1 1 0 1 1 0 0
5769f294-220c-418a-b0c1-672d3e4ff431#cbt_response_c:0	1	Y positive	uno stato di pace	B I O O	1 1 0 0
5769f294-220c-418a-b0c1-672d3e4ff431#cbt_response_c:0	0	Y negative	uno stato di pace	O O O O	1 1 0 0
5769f294-220c-418a-b0c1-672d3e4ff431#cbt_response_c:0	0	Y neutral	uno stato di pace	O O O O	1 1 0 0
5769f294-220c-418a-b0c1-672d3e4ff431#cbt_response_c:0	0	N positive	uno stato di pace	O O O O	1 1 0 0
5769f294-220c-418a-b0c1-672d3e4ff431#cbt_response_c:0	0	N negative	uno stato di pace	O O O O	1 1 0 0
5769f294-220c-418a-b0c1-672d3e4ff431#cbt_response_c:0	0	N neutral	uno stato di pace	O O O O	1 1 0 0
6af5c16b-cfd6-435d-865a-c351f2f0e7df#initial_note:0	0	Y positive	riflettevo oggi che questo tempo di emergenza in qualche modo ci fa vivere come in una bolla	O O O O O O O O O O O O O O O O O	1 1 0 1 1 0 1 0 1 1 0 1 1 0 0 1 1
6af5c16b-cfd6-435d-865a-c351f2f0e7df#initial_note:0	0	Y negative	riflettevo oggi che questo tempo di emergenza in qualche modo ci fa vivere come in una bolla	O O O O O O O O O O O O O O O O O	1 1 0 1 1 0 1 0 1 1 0 1 1 0 0 1 1
6af5c16b-cfd6-435d-865a-c351f2f0e7df#initial_note:0	0	Y neutral	riflettevo oggi che questo tempo di emergenza in qualche modo ci fa vivere come in una bolla	O O O O O O O O O O O O O O O O O	1 1 0 1 1 0 1 0 1 1 0 1 1 0 0 1 1
6af5c16b-cfd6-435d-865a-c351f2f0e7df#initial_note:0	0	N positive	riflettevo oggi che questo tempo di emergenza in qualche modo ci fa vivere come in una bolla	O O O O O O O O O O O O O O O O O	1 1 0 1 1 0 1 0 1 1 0 1 1 0 0 1 1
6af5c16b-cfd6-435d-865a-c351f2f0e7df#initial_note:0	0	N negative	riflettevo oggi che questo tempo di emergenza in qualche modo ci fa vivere come in una bolla	O O O O O O O O O O O O O O O O O	1 1 0 1 1 0 1 0 1 1 0 1 1 0 0 1 1
6af5c16b-cfd6-435d-865a-c351f2f0e7df#initial_note:0	1	N neutral	riflettevo oggi che questo tempo di emergenza in qualche modo ci fa vivere come in una bolla	B I O B I O B O B I O B B O O B I	1 1 0 1 1 0 1 0 1 1 0 1 1 0 0 1 1
6af5c16b-cfd6-435d-865a-c351f2f0e7df#initial_note:1	0	Y positive	siamo come ovattati	O O O	0 0 1
6af5c16b-cfd6-435d-865a-c351f2f0e7df#initial_note:1	0	Y negative	siamo come ovattati	O O O	0 0 1
6af5c16b-cfd6-435d-865a-c351f2f0e7df#initial_note:1	0	Y neutral	siamo come ovattati	O O O	0 0 1
6af5c16b-cfd6-435d-865a-c351f2f0e7df#initial_note:1	0	N positive	siamo come ovattati	O O O	0 0 1
6af5c16b-cfd6-435d-865a-c351f2f0e7df#initial_note:1	0	N negative	siamo come ovattati	O O O	0 0 1
6af5c16b-cfd6-435d-865a-c351f2f0e7df#initial_note:1	1	N neutral	siamo come ovattati	O O B	0 0 1
6af5c16b-cfd6-435d-865a-c351f2f0e7df#initial_note:2	0	Y positive	almeno io mi sento così	O O O O O	0 0 0 1 1
6af5c16b-cfd6-435d-865a-c351f2f0e7df#initial_note:2	0	Y negative	almeno io mi sento così	O O O O O	0 0 0 1 1
6af5c16b-cfd6-435d-865a-c351f2f0e7df#initial_note:2	0	Y neutral	almeno io mi sento così	O O O O O	0 0 0 1 1
6af5c16b-cfd6-435d-865a-c351f2f0e7df#initial_note:2	0	N positive	almeno io mi sento così	O O O O O	0 0 0 1 1
6af5c16b-cfd6-435d-865a-c351f2f0e7df#initial_note:2	0	N negative	almeno io mi sento così	O O O O O	0 0 0 1 1
6af5c16b-cfd6-435d-865a-c351f2f0e7df#initial_note:2	1	N neutral	almeno io mi sento così	O O O B I	0 0 0 1 1
6af5c16b-cfd6-435d-865a-c351f2f0e7df#initial_note:3	0	Y positive	mi pare che a forza di stare in casa non ci sia più la voglia di uscire la curiosità di vedere	O O O O O O O O O O O O O O O O O O O O O	0 1 0 0 1 0 1 0 1 0 0 1 1 1 1 0 1 0 0 0 1
6af5c16b-cfd6-435d-865a-c351f2f0e7df#initial_note:3	1	Y negative	mi pare che a forza di stare in casa non ci sia più la voglia di uscire la curiosità di vedere	O O O O O O O O O O O B I O O O O O O O O	0 1 0 0 1 0 1 0 1 0 0 1 1 1 1 0 1 0 0 0 1
6af5c16b-cfd6-435d-865a-c351f2f0e7df#initial_note:3	0	Y neutral	mi pare che a forza di stare in casa non ci sia più la voglia di uscire la curiosità di vedere	O O O O O O O O O O O O O O O O O O O O O	0 1 0 0 1 0 1 0 1 0 0 1 1 1 1 0 1 0 0 0 1
6af5c16b-cfd6-435d-865a-c351f2f0e7df#initial_note:3	0	N positive	mi pare che a forza di stare in casa non ci sia più la voglia di uscire la curiosità di vedere	O O O O O O O O O O O O O O O O O O O O O	0 1 0 0 1 0 1 0 1 0 0 1 1 1 1 0 1 0 0 0 1
6af5c16b-cfd6-435d-865a-c351f2f0e7df#initial_note:3	1	N negative	mi pare che a forza di stare in casa non ci sia più la voglia di uscire la curiosità di vedere	O B O O B O B O B O O O O B I O B O O O B	0 1 0 0 1 0 1 0 1 0 0 1 1 1 1 0 1 0 0 0 1
6af5c16b-cfd6-435d-865a-c351f2f0e7df#initial_note:3	0	N neutral	mi pare che a forza di stare in casa non ci sia più la voglia di uscire la curiosità di vedere	O O O O O O O O O O O O O O O O O O O O O	0 1 0 0 1 0 1 0 1 0 0 1 1 1 1 0 1 0 0 0 1
6af5c16b-cfd6-435d-865a-c351f2f0e7df#initial_note:4	0	Y positive	anche quando vado in ufficio <number> o <number> volte nella settimana	O O O O O O O O O O O	0 0 1 0 1 0 0 0 1 0 1
6af5c16b-cfd6-435d-865a-c351f2f0e7df#initial_note:4	0	Y negative	anche quando vado in ufficio <number> o <number> volte nella settimana	O O O O O O O O O O O	0 0 1 0 1 0 0 0 1 0 1
6af5c16b-cfd6-435d-865a-c351f2f0e7df#initial_note:4	0	Y neutral	anche quando vado in ufficio <number> o <number> volte nella settimana	O O O O O O O O O O O	0 0 1 0 1 0 0 0 1 0 1
6af5c16b-cfd6-435d-865a-c351f2f0e7df#initial_note:4	0	N positive	anche quando vado in ufficio <number> o <number> volte nella settimana	O O O O O O O O O O O	0 0 1 0 1 0 0 0 1 0 1
6af5c16b-cfd6-435d-865a-c351f2f0e7df#initial_note:4	0	N negative	anche quando vado in ufficio <number> o <number> volte nella settimana	O O O O O O O O O O O	0 0 1 0 1 0 0 0 1 0 1
6af5c16b-cfd6-435d-865a-c351f2f0e7df#initial_note:4	1	N neutral	anche quando vado in ufficio <number> o <number> volte nella settimana	O O B O B O O O B O B	0 0 1 0 1 0 0 0 1 0 1
6af5c16b-cfd6-435d-865a-c351f2f0e7df#initial_note:5	0	Y positive	non ho tanta voglia poi di girellare per il centro	O O O O O O O O O O	1 1 1 1 0 0 1 0 1 1
6af5c16b-cfd6-435d-865a-c351f2f0e7df#initial_note:5	1	Y negative	non ho tanta voglia poi di girellare per il centro	B I B I O O O O O O	1 1 1 1 0 0 1 0 1 1
6af5c16b-cfd6-435d-865a-c351f2f0e7df#initial_note:5	0	Y neutral	non ho tanta voglia poi di girellare per il centro	O O O O O O O O O O	1 1 1 1 0 0 1 0 1 1
6af5c16b-cfd6-435d-865a-c351f2f0e7df#initial_note:5	0	N positive	non ho tanta voglia poi di girellare per il centro	O O O O O O O O O O	1 1 1 1 0 0 1 0 1 1
6af5c16b-cfd6-435d-865a-c351f2f0e7df#initial_note:5	1	N negative	non ho tanta voglia poi di girellare per il centro	O O O O O O B O B I	1 1 1 1 0 0 1 0 1 1
6af5c16b-cfd6-435d-865a-c351f2f0e7df#initial_note:5	0	N neutral	non ho tanta voglia poi di girellare per il centro	O O O O O O O O O O	1 1 1 1 0 0 1 0 1 1
6af5c16b-cfd6-435d-865a-c351f2f0e7df#initial_note:6	0	Y positive	spero che sia davvero momentaneo	O O O O O	1 0 0 0 0
6af5c16b-cfd6-435d-865a-c351f2f0e7df#initial_note:6	0	Y negative	spero che sia davvero momentaneo	O O O O O	1 0 0 0 0
6af5c16b-cfd6-435d-865a-c351f2f0e7df#initial_note:6	0	Y neutral	spero che sia davvero momentaneo	O O O O O	1 0 0 0 0
6af5c16b-cfd6-435d-865a-c351f2f0e7df#initial_note:6	0	N positive	spero che sia davvero momentaneo	O O O O O	1 0 0 0 0
6af5c16b-cfd6-435d-865a-c351f2f0e7df#initial_note:6	0	N negative	spero che sia davvero momentaneo	O O O O O	1 0 0 0 0
6af5c16b-cfd6-435d-865a-c351f2f0e7df#initial_note:6	1	N neutral	spero che sia davvero momentaneo	B O O O O	1 0 0 0 0
6af5c16b-cfd6-435d-865a-c351f2f0e7df#cbt_response_a:0	0	Y positive	con nessuno	O O	0 0
6af5c16b-cfd6-435d-865a-c351f2f0e7df#cbt_response_a:0	0	Y negative	con nessuno	O O	0 0
6af5c16b-cfd6-435d-865a-c351f2f0e7df#cbt_response_a:0	0	Y neutral	con nessuno	O O	0 0
6af5c16b-cfd6-435d-865a-c351f2f0e7df#cbt_response_a:0	0	N positive	con nessuno	O O	0 0
6af5c16b-cfd6-435d-865a-c351f2f0e7df#cbt_response_a:0	0	N negative	con nessuno	O O	0 0
6af5c16b-cfd6-435d-865a-c351f2f0e7df#cbt_response_a:0	0	N neutral	con nessuno	O O	0 0
6af5c16b-cfd6-435d-865a-c351f2f0e7df#cbt_response_a:1	0	Y positive	era la riflessione in una giornata uggiosa come quella di oggi	O O O O O O O O O O O	0 1 1 0 1 1 0 0 0 0 0
6af5c16b-cfd6-435d-865a-c351f2f0e7df#cbt_response_a:1	0	Y negative	era la riflessione in una giornata uggiosa come quella di oggi	O O O O O O O O O O O	0 1 1 0 1 1 0 0 0 0 0
6af5c16b-cfd6-435d-865a-c351f2f0e7df#cbt_response_a:1	0	Y neutral	era la riflessione in una giornata uggiosa come quella di oggi	O O O O O O O O O O O	0 1 1 0 1 1 0 0 0 0 0
6af5c16b-cfd6-435d-865a-c351f2f0e7df#cbt_response_a:1	0	N positive	era la riflessione in una giornata uggiosa come quella di oggi	O O O O O O O O O O O	0 1 1 0 1 1 0 0 0 0 0
6af5c16b-cfd6-435d-865a-c351f2f0e7df#cbt_response_a:1	0	N negative	era la riflessione in una giornata uggiosa come quella di oggi	O O O O O O O O O O O	0 1 1 0 1 1 0 0 0 0 0
6af5c16b-cfd6-435d-865a-c351f2f0e7df#cbt_response_a:1	1	N neutral	era la riflessione in una giornata uggiosa come quella di oggi	O B I O B I O O O O O	0 1 1 0 1 1 0 0 0 0 0
6af5c16b-cfd6-435d-865a-c351f2f0e7df#cbt_response_a:2	0	Y positive	la pioggia non aiuta a rasserenare lo spirito	O O O O O O O O	1 1 1 1 0 1 1 1
6af5c16b-cfd6-435d-865a-c351f2f0e7df#cbt_response_a:2	0	Y negative	la pioggia non aiuta a rasserenare lo spirito	O O O O O O O O	1 1 1 1 0 1 1 1
6af5c16b-cfd6-435d-865a-c351f2f0e7df#cbt_response_a:2	0	Y neutral	la pioggia non aiuta a rasserenare lo spirito	O O O O O O O O	1 1 1 1 0 1 1 1
6af5c16b-cfd6-435d-865a-c351f2f0e7df#cbt_response_a:2	0	N positive	la pioggia non aiuta a rasserenare lo spirito	O O O O O O O O	1 1 1 1 0 1 1 1
6af5c16b-cfd6-435d-865a-c351f2f0e7df#cbt_response_a:2	0	N negative	la pioggia non aiuta a rasserenare lo spirito	O O O O O O O O	1 1 1 1 0 1 1 1
6af5c16b-cfd6-435d-865a-c351f2f0e7df#cbt_response_a:2	1	N neutral	la pioggia non aiuta a rasserenare lo spirito	B I B I O B B I	1 1 1 1 0 1 1 1
6af5c16b-cfd6-435d-865a-c351f2f0e7df#cbt_response_b:0	0	Y positive	niente nessuna immagine	O O O	0 1 1
6af5c16b-cfd6-435d-865a-c351f2f0e7df#cbt_response_b:0	0	Y negative	niente nessuna immagine	O O O	0 1 1
6af5c16b-cfd6-435d-865a-c351f2f0e7df#cbt_response_b:0	0	Y neutral	niente nessuna immagine	O O O	0 1 1
6af5c16b-cfd6-435d-865a-c351f2f0e7df#cbt_response_b:0	0	N positive	niente nessuna immagine	O O O	0 1 1
6af5c16b-cfd6-435d-865a-c351f2f0e7df#cbt_response_b:0	0	N negative	niente nessuna immagine	O O O	0 1 1
6af5c16b-cfd6-435d-865a-c351f2f0e7df#cbt_response_b:0	1	N neutral	niente nessuna immagine	O B I	0 1 1
6af5c16b-cfd6-435d-865a-c351f2f0e7df#cbt_response_c:0	0	Y positive	non era una emozione	O O O O	0 0 0 0
6af5c16b-cfd6-435d-865a-c351f2f0e7df#cbt_response_c:0	0	Y negative	non era una emozione	O O O O	0 0 0 0
6af5c16b-cfd6-435d-865a-c351f2f0e7df#cbt_response_c:0	0	Y neutral	non era una emozione	O O O O	0 0 0 0
6af5c16b-cfd6-435d-865a-c351f2f0e7df#cbt_response_c:0	0	N positive	non era una emozione	O O O O	0 0 0 0
6af5c16b-cfd6-435d-865a-c351f2f0e7df#cbt_response_c:0	0	N negative	non era una emozione	O O O O	0 0 0 0
6af5c16b-cfd6-435d-865a-c351f2f0e7df#cbt_response_c:0	0	N neutral	non era una emozione	O O O O	0 0 0 0
6af5c16b-cfd6-435d-865a-c351f2f0e7df#cbt_response_c:1	0	Y positive	forse il rumore della pioggia mentre riposavo sul divano ha suscitato questa riflessione	O O O O O O O O O O O O O	0 1 1 0 1 0 1 0 1 1 1 1 1
6af5c16b-cfd6-435d-865a-c351f2f0e7df#cbt_response_c:1	0	Y negative	forse il rumore della pioggia mentre riposavo sul divano ha suscitato questa riflessione	O O O O O O O O O O O O O	0 1 1 0 1 0 1 0 1 1 1 1 1
6af5c16b-cfd6-435d-865a-c351f2f0e7df#cbt_response_c:1	0	Y neutral	forse il rumore della pioggia mentre riposavo sul divano ha suscitato questa riflessione	O O O O O O O O O O O O O	0 1 1 0 1 0 1 0 1 1 1 1 1
6af5c16b-cfd6-435d-865a-c351f2f0e7df#cbt_response_c:1	0	N positive	forse il rumore della pioggia mentre riposavo sul divano ha suscitato questa riflessione	O O O O O O O O O O O O O	0 1 1 0 1 0 1 0 1 1 1 1 1
6af5c16b-cfd6-435d-865a-c351f2f0e7df#cbt_response_c:1	0	N negative	forse il rumore della pioggia mentre riposavo sul divano ha suscitato questa riflessione	O O O O O O O O O O O O O	0 1 1 0 1 0 1 0 1 1 1 1 1
6af5c16b-cfd6-435d-865a-c351f2f0e7df#cbt_response_c:1	1	N neutral	forse il rumore della pioggia mentre riposavo sul divano ha suscitato questa riflessione	O B I O B O B O B B I B I	0 1 1 0 1 0 1 0 1 1 1 1 1
67e3e6be-6334-4e39-91cb-2fcbadb088ed#initial_note:0	0	Y positive	ieri sera sono andata a vedere le lucciole	O O O O O O O O	0 1 1 1 0 1 1 1
67e3e6be-6334-4e39-91cb-2fcbadb088ed#initial_note:0	0	Y negative	ieri sera sono andata a vedere le lucciole	O O O O O O O O	0 1 1 1 0 1 1 1
67e3e6be-6334-4e39-91cb-2fcbadb088ed#initial_note:0	0	Y neutral	ieri sera sono andata a vedere le lucciole	O O O O O O O O	0 1 1 1 0 1 1 1
67e3e6be-6334-4e39-91cb-2fcbadb088ed#initial_note:0	0	N positive	ieri sera sono andata a vedere le lucciole	O O O O O O O O	0 1 1 1 0 1 1 1
67e3e6be-6334-4e39-91cb-2fcbadb088ed#initial_note:0	0	N negative	ieri sera sono andata a vedere le lucciole	O O O O O O O O	0 1 1 1 0 1 1 1
67e3e6be-6334-4e39-91cb-2fcbadb088ed#initial_note:0	1	N neutral	ieri sera sono andata a vedere le lucciole	O B B I O B B I	0 1 1 1 0 1 1 1
67e3e6be-6334-4e39-91cb-2fcbadb088ed#initial_note:1	0	Y positive	meravigliose	O	0
67e3e6be-6334-4e39-91cb-2fcbadb088ed#initial_note:1	0	Y negative	meravigliose	O	0
67e3e6be-6334-4e39-91cb-2fcbadb088ed#initial_note:1	0	Y neutral	meravigliose	O	0
67e3e6be-6334-4e39-91cb-2fcbadb088ed#initial_note:1	0	N positive	meravigliose	O	0
67e3e6be-6334-4e39-91cb-2fcbadb088ed#initial_note:1	0	N negative	meravigliose	O	0
67e3e6be-6334-4e39-91cb-2fcbadb088ed#initial_note:1	0	N neutral	meravigliose	O	0
67e3e6be-6334-4e39-91cb-2fcbadb088ed#cbt_response_a:0	0	Y positive	dopo cena in bicicletta	O O O O	0 1 0 1
67e3e6be-6334-4e39-91cb-2fcbadb088ed#cbt_response_a:0	0	Y negative	dopo cena in bicicletta	O O O O	0 1 0 1
67e3e6be-6334-4e39-91cb-2fcbadb088ed#cbt_response_a:0	0	Y neutral	dopo cena in bicicletta	O O O O	0 1 0 1
67e3e6be-6334-4e39-91cb-2fcbadb088ed#cbt_response_a:0	0	N positive	dopo cena in bicicletta	O O O O	0 1 0 1
67e3e6be-6334-4e39-91cb-2fcbadb088ed#cbt_response_a:0	0	N negative	dopo cena in bicicletta	O O O O	0 1 0 1
67e3e6be-6334-4e39-91cb-2fcbadb088ed#cbt_response_a:0	1	N neutral	dopo cena in bicicletta	O B O B	0 1 0 1
67e3e6be-6334-4e39-91cb-2fcbadb088ed#cbt_response_a:1	0	Y positive	sono andata ai campi davanti casa	O O O O O O	1 1 0 1 0 1
67e3e6be-6334-4e39-91cb-2fcbadb088ed#cbt_response_a:1	0	Y negative	sono andata ai campi davanti casa	O O O O O O	1 1 0 1 0 1
67e3e6be-6334-4e39-91cb-2fcbadb088ed#cbt_response_a:1	0	Y neutral	sono andata ai campi davanti casa	O O O O O O	1 1 0 1 0 1
67e3e6be-6334-4e39-91cb-2fcbadb088ed#cbt_response_a:1	0	N positive	sono andata ai campi davanti casa	O O O O O O	1 1 0 1 0 1
67e3e6be-6334-4e39-91cb-2fcbadb088ed#cbt_response_a:1	0	N negative	sono andata ai campi davanti casa	O O O O O O	1 1 0 1 0 1
67e3e6be-6334-4e39-91cb-2fcbadb088ed#cbt_response_a:1	1	N neutral	sono andata ai campi davanti casa	B I O B O B	1 1 0 1 0 1
67e3e6be-6334-4e39-91cb-2fcbadb088ed#cbt_response_a:2	0	Y positive	pieni di grilli e lucciole	O O O O O	0 0 1 0 1
67e3e6be-6334-4e39-91cb-2fcbadb088ed#cbt_response_a:2	0	Y negative	pieni di grilli e lucciole	O O O O O	0 0 1 0 1
67e3e6be-6334-4e39-91cb-2fcbadb088ed#cbt_response_a:2	0	Y neutral	pieni di grilli e lucciole	O O O O O	0 0 1 0 1
67e3e6be-6334-4e39-91cb-2fcbadb088ed#cbt_response_a:2	0	N positive	pieni di grilli e lucciole	O O O O O	0 0 1 0 1
67e3e6be-6334-4e39-91cb-2fcbadb088ed#cbt_response_a:2	0	N negative	pieni di grilli e lucciole	O O O O O	0 0 1 0 1
